type,module,sourceLine,snippet
catch,02-state-save-cloud-account.js,242,window.OTTHOS_DB.requestPersistentStorage().catch(() => false);
catch,02-state-save-cloud-account.js,254,? lastSavePromise.catch(()=>true).then(()=>window.OTTHOS_DB.save(snapshot)).catch(error => {
if,02-state-save-cloud-account.js,266,if (immediate) return commitState();
if,02-state-save-cloud-account.js,281,if(!hasValidPlayerName())return false;
if,02-state-save-cloud-account.js,285,if(!remote||typeof remote!=='object')return false;
if,02-state-save-cloud-account.js,287,if(remoteSaved<=localSaved+2500){syncCloudProgress(true);return false;}
if,02-state-save-cloud-account.js,301,"safeLocalSet(STORAGE_KEY,JSON.stringify(state));window.OTTHOS_DB?.save?.(state).catch(()=>{});if(worldGroup&&world?.builds)reconcileWorldBuilds();updatePlayerNameUI();updateHUD();updateLobbyStats();toast('Progresso recuperado do Firebase sem apagar construções locais.','good',2300);return true;"
catch,02-state-save-cloud-account.js,301,"safeLocalSet(STORAGE_KEY,JSON.stringify(state));window.OTTHOS_DB?.save?.(state).catch(()=>{});if(worldGroup&&world?.builds)reconcileWorldBuilds();updatePlayerNameUI();updateHUD();updateLobbyStats();toast('Progresso recuperado do Firebase sem apagar construções locais.','good',2300);return true;"
if,02-state-save-cloud-account.js,309,if(window.OTTHOS_RTDB)return window.OTTHOS_RTDB;
if,02-state-save-cloud-account.js,312,"const finish=value=>{if(done)return;done=true;clearTimeout(timer);window.removeEventListener('otthos:rtdb-ready',ready);resolve(value);};"
if,02-state-save-cloud-account.js,319,"if(!backend?.configured)return{ok:false,error:'A nuvem do jogo ainda não está configurada.'};"
if,02-state-save-cloud-account.js,320,"if(backend.connected?.())return{ok:true,backend};"
if,02-state-save-cloud-account.js,326,if(!accountLinked()||accountSyncing)return false;
if,02-state-save-cloud-account.js,328,if(!accountLinked()||accountSyncing)return false;
if,02-state-save-cloud-account.js,329,const connection=await ensureAccountConnection();if(!connection.ok)return false;
if,02-state-save-cloud-account.js,331,if(!cloudAccount||cloudAccount.anonymous||cloudAccount.username!==accountSession.username)return false;
if,02-state-save-cloud-account.js,338,if(result?.ok)state.account.lastCloudSync=Date.now();
catch,02-state-save-cloud-account.js,340,"}catch(error){console.warn('Conta do jogo:',error);return false}"
if,02-state-save-cloud-account.js,343,if(force)return run();
if,02-state-save-cloud-account.js,347,if(!window.OTTHOS_ACCOUNT)throw new Error('Proteção de conta indisponível neste navegador.');
if,02-state-save-cloud-account.js,348,const cleanName=sanitizePlayerName(displayName);if(cleanName.length<3)throw new Error('Escolha um nome de jogador com pelo menos 3 caracteres.');
if,02-state-save-cloud-account.js,350,if(!connection.ok)throw new Error(connection.error);
if,02-state-save-cloud-account.js,352,if(!authResult?.ok)throw new Error(authResult?.error||'Não foi possível criar a conta protegida.');
if,02-state-save-cloud-account.js,355,"await commitState();const saved=await syncGameAccount(true);if(!saved)throw new Error('A conta foi criada, mas a primeira cópia online não terminou. Tente sincronizar novamente.');"
if,02-state-save-cloud-account.js,359,if(!window.OTTHOS_ACCOUNT)throw new Error('Proteção de conta indisponível neste navegador.');
if,02-state-save-cloud-account.js,361,if(!connection.ok)throw new Error(connection.error);
if,02-state-save-cloud-account.js,363,if(!authResult?.ok)throw new Error(authResult?.error||'Nome ou senha incorretos.');
if,02-state-save-cloud-account.js,365,if(!result?.ok)throw new Error(result?.error||'Não foi possível consultar a conta.');
if,02-state-save-cloud-account.js,366,"if(!result.exists)throw new Error('A conta existe, mas ainda não possui uma cópia de progresso. Entre no aparelho onde ela foi criada e toque em “Sincronizar agora”.');"
catch,02-state-save-cloud-account.js,375,await window.OTTHOS_RTDB?.signOutPlayerAccount?.().catch?.(()=>{});
if,02-state-save-cloud-account.js,383,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
else,02-state-save-cloud-account.js,383,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
catch,02-state-save-cloud-account.js,383,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado "
if,02-state-save-cloud-account.js,392,"$('[data-account-logout]',root)?.addEventListener('click',async()=>{if(await confirmModal('Sair da conta','O progresso continuará neste aparelho e na cópia protegida.','Sair','Cancelar')){await unlinkGameAccount();toast('Conta desconectada deste aparelho.','good');}});"
if,02-state-save-cloud-account.js,393,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
if,03-ui-modal-install-pwa.js,400,if (nextLevel > state.profile.level) {
if,03-ui-modal-install-pwa.js,417,if (state.medals.includes(name)) return;
if,03-ui-modal-install-pwa.js,423,if (state.flags[flag] === value) return;
if,03-ui-modal-install-pwa.js,441,if (state.settings.vibration && navigator.vibrate) navigator.vibrate(pattern);
if,03-ui-modal-install-pwa.js,444,if (!state.settings.sound) return;
if,03-ui-modal-install-pwa.js,447,if (!Ctx) return;
catch,03-ui-modal-install-pwa.js,455,} catch {}
if,03-ui-modal-install-pwa.js,460,if (els.quickBar) els.quickBar.hidden = true;
if,03-ui-modal-install-pwa.js,464,if (typeof player !== 'undefined' && player.vehicle) player.car.speed *= .7;
if,03-ui-modal-install-pwa.js,470,if (onReady) onReady(els.modalBody);
if,03-ui-modal-install-pwa.js,475,if (typeof fishingSession !== 'undefined' && fishingSession) cancelFishingSession();
if,03-ui-modal-install-pwa.js,476,else if (typeof fishingVisual !== 'undefined' && fishingVisual?.active) stopFishingVisual();
else,03-ui-modal-install-pwa.js,476,else if (typeof fishingVisual !== 'undefined' && fishingVisual?.active) stopFishingVisual();
if,03-ui-modal-install-pwa.js,485,if (resumePausedGame) {
if,03-ui-modal-install-pwa.js,488,if (running && player.vehicle) startEngineSound();
if,03-ui-modal-install-pwa.js,500,"els.modal.addEventListener('pointerdown', e => { if (e.target === els.modal) closeModal(); });"
if,03-ui-modal-install-pwa.js,510,if (els.installBtn) {
if,03-ui-modal-install-pwa.js,515,if (els.installHint) {
if,03-ui-modal-install-pwa.js,534,if (isStandalone()) { updateInstallUI(); return; }
if,03-ui-modal-install-pwa.js,535,if (deferredInstallPrompt) {
if,03-ui-modal-install-pwa.js,547,if (els.installBtn) els.installBtn.onclick = installApp;
catch,03-ui-modal-install-pwa.js,558,} catch {
catch,03-ui-modal-install-pwa.js,564,try { await saveState(true); } catch {}
catch,03-ui-modal-install-pwa.js,565,try { await lastSavePromise; } catch {}
if,03-ui-modal-install-pwa.js,569,if (otthiUpdateReloading) return false;
if,03-ui-modal-install-pwa.js,579,if (!isOfficialOtthiGameAddress() || !navigator.onLine || otthiUpdateReloading) return false;
if,03-ui-modal-install-pwa.js,581,if (!force && now - otthiLastUpdateCheck < OTTHI_UPDATE_INTERVAL_MS) return false;
if,03-ui-modal-install-pwa.js,587,if (!response.ok) throw new Error(`HTTP ${response.status}`);
if,03-ui-modal-install-pwa.js,591,if (remoteBuild && remoteBuild !== OTTHI_GAME_WEB_BUILD) {
catch,03-ui-modal-install-pwa.js,595,} catch (error) {
if,03-ui-modal-install-pwa.js,602,if (!('serviceWorker' in navigator) || !isOfficialOtthiGameAddress()) return;
if,03-ui-modal-install-pwa.js,606,if (controllerHandled) return;
if,03-ui-modal-install-pwa.js,608,if (hadController) reloadForOtthiUpdate(`sw-${OTTHI_GAME_WEB_BUILD}`);
if,03-ui-modal-install-pwa.js,615,if (registration.waiting) registration.waiting.postMessage({ type:'SKIP_WAITING' });
if,03-ui-modal-install-pwa.js,618,if (!worker) return;
if,03-ui-modal-install-pwa.js,620,if (worker.state === 'installed' && navigator.serviceWorker.controller) {
catch,03-ui-modal-install-pwa.js,625,await registration.update().catch(() => {});
catch,03-ui-modal-install-pwa.js,628,registration.update().catch(() => {});
catch,03-ui-modal-install-pwa.js,631,} catch (error) {
if,03-ui-modal-install-pwa.js,636,if ('serviceWorker' in navigator) {
if,03-ui-modal-install-pwa.js,642,if (!document.hidden) probeOtthiGameUpdate(false);
if,04-education-daily-quiz.js,660,"function daysBetween(a,b){if(!a||!b)return 99;return Math.round((new Date(`${b}T12:00:00`)-new Date(`${a}T12:00:00`))/86400000)}"
if,04-education-daily-quiz.js,661,"function ensureDailyChallenges(){const key=localDateKey();if(state.daily.date===key&&state.daily.quests?.length)return;const gap=daysBetween(state.daily.lastDate,key);state.daily.streak=gap===1?(state.daily.streak||0)+1:gap===0?(state.daily.streak||1):1;let seed=Number(key.replaceAll('-',''));const pool=[...DAILY_QUEST_POOL],picked=[];while(picked.length<3&&pool.length){seed=(seed*9301+49297)%233280;const q=pool.splice(Math.floor(seed/233280*pool.length),1)[0];picked.push({id:q.id,progress:0,tar"
while,04-education-daily-quiz.js,661,"function ensureDailyChallenges(){const key=localDateKey();if(state.daily.date===key&&state.daily.quests?.length)return;const gap=daysBetween(state.daily.lastDate,key);state.daily.streak=gap===1?(state.daily.streak||0)+1:gap===0?(state.daily.streak||1):1;let seed=Number(key.replaceAll('-',''));const pool=[...DAILY_QUEST_POOL],picked=[];while(picked.length<3&&pool.length){seed=(seed*9301+49297)%233280;const q=pool.splice(Math.floor(seed/233280*pool.length),1)[0];picked.push({id:q.id,progress:0,tar"
if,04-education-daily-quiz.js,665,"for(const q of state.daily.quests){if(q.id!==type||q.claimed)continue;const before=q.progress;q.progress=clamp((q.progress||0)+amount,0,q.target);if(q.progress!==before){changed=true;if(before<q.target&&q.progress>=q.target)completedNow=true;}}"
for,04-education-daily-quiz.js,665,"for(const q of state.daily.quests){if(q.id!==type||q.claimed)continue;const before=q.progress;q.progress=clamp((q.progress||0)+amount,0,q.target);if(q.progress!==before){changed=true;if(before<q.target&&q.progress>=q.target)completedNow=true;}}"
if,04-education-daily-quiz.js,666,if(!changed)return;updateDailyBadge();const now=performance.now();
if,04-education-daily-quiz.js,667,if(completedNow||!trackDaily.lastSave||now-trackDaily.lastSave>6000){trackDaily.lastSave=now;saveState();}
if,04-education-daily-quiz.js,669,"function updateDailyBadge(){if(!els.dailyBtn)return;ensureDailyChallenges();const ready=state.daily.quests.filter(q=>!q.claimed&&q.progress>=q.target).length;els.dailyBtn.classList.toggle('reward-ready',ready>0);const span=$('span',els.dailyBtn);if(span)span.textContent=ready?`Prêmio ${ready}`:'Desafios';}"
if,04-education-daily-quiz.js,670,"function claimDailyQuest(index){const q=state.daily.quests[index],def=dailyDefinition(q?.id);if(!q||!def||q.claimed||q.progress<q.target)return;q.claimed=true;addCoins(q.reward);addXP(q.xp);addReputation(3);beep(980,90);vibrate(30);toast(`Desafio concluído! +${q.reward} moedas`,'good',2200);saveState(true);openDailyChallenges();}"
if,04-education-daily-quiz.js,689,"if(level===1){const n=1+Math.floor(rand()*9);return{kind:'choice',visual:emoji.repeat(n),prompt:'Quantos objetos aparecem?',answer:String(n),options:choiceSet(String(n),[n-2,n-1,n+1,n+2].filter(x=>x>0).map(String),rand)};}"
if,04-education-daily-quiz.js,690,"if(level===2){const a=1+Math.floor(rand()*8),b=1+Math.floor(rand()*7),ans=a+b;return{kind:'choice',visual:`${emoji.repeat(a)} + ${emoji.repeat(b)}`,prompt:`Quanto é ${a} + ${b}?`,answer:String(ans),options:choiceSet(String(ans),[ans-2,ans-1,ans+1,ans+2].map(String),rand)};}"
if,04-education-daily-quiz.js,691,"if(level===3){const a=5+Math.floor(rand()*10),b=1+Math.floor(rand()*Math.min(8,a)),ans=a-b;return{kind:'choice',visual:`${a} − ${b}`,prompt:'Quanto sobrou?',answer:String(ans),options:choiceSet(String(ans),[ans-2,ans-1,ans+1,ans+2].filter(x=>x>=0).map(String),rand)};}"
if,04-education-daily-quiz.js,692,"if(level===4){const start=1+Math.floor(rand()*5),step=1+Math.floor(rand()*3),seq=[start,start+step,'?',start+step*3],ans=start+step*2;return{kind:'choice',visual:seq.join('  •  '),prompt:'Qual número completa a sequência?',answer:String(ans),options:choiceSet(String(ans),[ans-step,ans+step,ans+2,ans-1].map(String),rand)};}"
if,04-education-daily-quiz.js,693,"if(level===5){const a=1+Math.floor(rand()*20),b=1+Math.floor(rand()*20),ans=a===b?'=':a>b?'>':'<';return{kind:'choice',visual:`${a}  ?  ${b}`,prompt:'Escolha o sinal correto.',answer:ans,options:['>','<','=']};}"
if,04-education-daily-quiz.js,698,"if(level===1){const ans=word.pt[0];return{kind:'choice',visual:word.emoji,prompt:`Com qual letra começa ${word.pt}?`,answer:ans,options:choiceSet(ans,['A','B','C','G','L','M','P','S','T'],rand)};}"
if,04-education-daily-quiz.js,699,"if(level===2){return{kind:'choice',visual:word.emoji,prompt:'Qual é o nome desta imagem?',answer:word.pt,options:choiceSet(word.pt,WORD_BANK.map(w=>w.pt),rand)};}"
if,04-education-daily-quiz.js,700,"if(level===3){const positions=[...word.pt].map((c,i)=>/[AEIOUÁÉÍÓÚÃÕ]/.test(c)?i:-1).filter(i=>i>=0),pos=positions[Math.floor(rand()*positions.length)]??1,ans=word.pt[pos],masked=[...word.pt];masked[pos]='_';return{kind:'choice',visual:word.emoji,prompt:`Complete: ${masked.join('')}`,answer:ans,options:choiceSet(ans,['A','E','I','O','U'],rand)};}"
if,04-education-daily-quiz.js,701,"if(level===4){return{kind:'sequence',visual:word.emoji,prompt:'Toque nas sílabas para montar a palavra.',answer:word.syllables.join(''),tokens:shuffled(word.syllables,rand),displayAnswer:word.pt};}"
if,04-education-daily-quiz.js,702,"if(level===5){const correct=`O ${word.pt.toLowerCase()} aparece na imagem.`;return{kind:'choice',visual:word.emoji,prompt:'Qual frase está escrita corretamente?',answer:correct,options:shuffled([correct,`A ${word.pt.toLowerCase()} aparecem na imagem.`,`Os ${word.pt.toLowerCase()} aparece na imagem.`],rand)};}"
if,04-education-daily-quiz.js,707,"if(level===1){return{kind:'choice',visual:word.emoji,prompt:'Choose the English word.',answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en};}"
if,04-education-daily-quiz.js,708,"if(level===2){return{kind:'choice',visual:word.pt,prompt:`Como se diz “${word.pt.toLowerCase()}” em inglês?`,answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en};}"
if,04-education-daily-quiz.js,709,"if(level===3){return{kind:'choice',visual:'🔊',prompt:'Ouça e escolha a palavra.',answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en,autoSpeak:true};}"
if,04-education-daily-quiz.js,710,"if(level===4){const pos=Math.floor(rand()*word.en.length),ans=word.en[pos],masked=[...word.en];masked[pos]='_';return{kind:'choice',visual:word.emoji,prompt:`Complete: ${masked.join('')}`,answer:ans,options:choiceSet(ans,'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.split(''),rand),speak:word.en};}"
if,04-education-daily-quiz.js,711,"if(level===5){const phrases=[['HELLO','Olá'],['THANK YOU','Obrigado'],['GOOD MORNING','Bom dia'],['PLEASE','Por favor'],['GOODBYE','Tchau']],pair=phrases[Math.floor(rand()*phrases.length)];return{kind:'choice',visual:'💬',prompt:`Qual é o significado de “${pair[0]}”?`,answer:pair[1],options:choiceSet(pair[1],phrases.map(p=>p[1]),rand),speak:pair[0]};}"
if,04-education-daily-quiz.js,717,"function educationSummary(){let done=0,total=0;for(const id of Object.keys(EDUCATION_SUBJECTS))for(let l=1;l<=6;l++){total++;if(subjectLevelRecord(id,l).completed)done++;}return{done,total,pct:Math.round(done/total*100)};}"
for,04-education-daily-quiz.js,717,"function educationSummary(){let done=0,total=0;for(const id of Object.keys(EDUCATION_SUBJECTS))for(let l=1;l<=6;l++){total++;if(subjectLevelRecord(id,l).completed)done++;}return{done,total,pct:Math.round(done/total*100)};}"
catch,04-education-daily-quiz.js,718,function speakKidWord(text){try{speechSynthesis.cancel();const u=new SpeechSynthesisUtterance(String(text));u.lang='en-US';u.rate=.78;u.pitch=1.08;speechSynthesis.speak(u);}catch{}}
if,04-education-daily-quiz.js,728,"root.onclick=e=>{const tabBtn=e.target.closest('[data-edu-tab]'),playBtn=e.target.closest('[data-edu-play]'),startBtn=e.target.closest('[data-academy-start]'),claimBtn=e.target.closest('[data-daily-claim]'),onlineBtn=e.target.closest('[data-open-online]');if(tabBtn){openEducationHub(tabBtn.dataset.eduTab);return;}if(startBtn){startSoloEducationGame(startBtn.dataset.academyStart,1);return;}if(playBtn){startSoloEducationGame(playBtn.dataset.eduPlay,Number(playBtn.dataset.eduLevel));return;}if(clai"
if,04-education-daily-quiz.js,735,"const complete=()=>{const elapsed=Math.round(performance.now()-started),result={score,total:items.length,elapsed,subject,level};if(onFinish)return onFinish(result);finishSoloEducationGame(result);};"
if,04-education-daily-quiz.js,736,"const render=()=>{if(step>=items.length||hearts<=0)return complete();const q=items[step],progress=Math.round(step/items.length*100),speak=q.speak?`<button class=""edu-speak"" data-edu-speak>🔊 Ouvir</button>`:'';"
if,04-education-daily-quiz.js,739,"if(q.autoSpeak)setTimeout(()=>speakKidWord(q.speak),180);$('[data-edu-speak]',root)?.addEventListener('click',()=>speakKidWord(q.speak));"
if,04-education-daily-quiz.js,740,"const resolveAnswer=(answer,button=null)=>{if(locked)return;locked=true;const correct=String(answer).toUpperCase()===String(q.answer).toUpperCase(),feedback=$('#eduFeedback',root);if(correct){score++;state.learning.totalCorrect++;button?.classList.add('correct');feedback.hidden=false;feedback.className='lesson-feedback good';feedback.innerHTML='<b>Correto!</b><span>Continue assim.</span>';beep(780,80);addXP(5);}else{hearts--;button?.classList.add('wrong');feedback.hidden=false;feedback.className"
else,04-education-daily-quiz.js,740,"const resolveAnswer=(answer,button=null)=>{if(locked)return;locked=true;const correct=String(answer).toUpperCase()===String(q.answer).toUpperCase(),feedback=$('#eduFeedback',root);if(correct){score++;state.learning.totalCorrect++;button?.classList.add('correct');feedback.hidden=false;feedback.className='lesson-feedback good';feedback.innerHTML='<b>Correto!</b><span>Continue assim.</span>';beep(780,80);addXP(5);}else{hearts--;button?.classList.add('wrong');feedback.hidden=false;feedback.className"
if,04-education-daily-quiz.js,742,"$$('[data-sequence-token]',root).forEach(btn=>btn.onclick=()=>{if(locked||btn.disabled)return;sequence.push(q.tokens[Number(btn.dataset.sequenceToken)]);btn.disabled=true;$('#sequenceBuilt',root).textContent=sequence.join('');});"
catch,04-education-daily-quiz.js,747,"function startSoloEducationGame(subject,level){try{closeChallengePrompt();runEducationGame({subject,level:Number(level)||1,seed:Date.now()});}catch(error){console.error('Academia Kids:',error);toast('Não foi possível abrir o jogo. Atualize a página.','bad',3000);}}"
if,04-education-daily-quiz.js,748,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.s"
else,04-education-daily-quiz.js,748,"function finishSoloEducationGame(result){const passed=result.score>=3,stars=passed?(result.score===result.total?3:result.score>=4?2:1):0,key=`${result.subject}-${result.level}`,old=subjectLevelRecord(result.subject,result.level);state.learning.lessons[key]={completed:old.completed||passed,stars:Math.max(old.stars||0,stars),best:Math.max(old.best||0,result.score),attempts:(old.attempts||0)+1};state.learning.lastLesson=key;state.learning.subjectXP[result.subject]=(state.learning.subjectXP[result.s"
if,04-education-daily-quiz.js,752,"if(!['dance','play','selfie','highfive','hug'].includes(type))return;clearTimeout(cinematicEmoteTimer);document.body.classList.add('cinematic-emote');cinematicEmoteTimer=setTimeout(()=>document.body.classList.remove('cinematic-emote'),Math.max(900,duration));"
if,04-education-daily-quiz.js,756,if(npc){npc.emoteType=type;npc.emoteUntil=performance.now()+duration;}
if,04-education-daily-quiz.js,757,"if(['dance','play','selfie','highfive','hug'].includes(type)){"
if,04-education-daily-quiz.js,759,"setTimeout(()=>{if(triggerEmote.cinemaToken===token)document.body.classList.remove('social-moment');},duration+180);"
if,04-education-daily-quiz.js,761,"if(type==='play')state.needs.fun=clamp(state.needs.fun+8,0,100);"
if,05-avatar-life-customization.js,789,if(job&&!terminal.includes(String(job.missionState||''))){
if,05-avatar-life-customization.js,819,"const cancel=$('[data-life-cancel-companions]',root);if(cancel)cancel.onclick=()=>{for(const npc of world.npcs||[]){npc.following=false;npc.pendingRide=false;npc.passengerMode=null;if(npc.group)npc.group.visible=true;}closeModal();toast('Passeio encerrado com segurança.','good');};"
for,05-avatar-life-customization.js,819,"const cancel=$('[data-life-cancel-companions]',root);if(cancel)cancel.onclick=()=>{for(const npc of world.npcs||[]){npc.following=false;npc.pendingRide=false;npc.passengerMode=null;if(npc.group)npc.group.visible=true;}closeModal();toast('Passeio encerrado com segurança.','good');};"
for,06-missions-profile-hud-inventory-tools.js,942,for (const chapter of missionChapters) {
if,06-missions-profile-hud-inventory-tools.js,944,if (complete && !state.completedChapters.includes(chapter.id)) {
if,06-missions-profile-hud-inventory-tools.js,952,if(state.objectives?.pinnedChapterId&&!pinned)state.objectives.pinnedChapterId='';
if,06-missions-profile-hud-inventory-tools.js,960,if (job) {
if,06-missions-profile-hud-inventory-tools.js,968,if (!activeMission) return;
if,06-missions-profile-hud-inventory-tools.js,992,"function updatePlayerNameUI(){const name=hasValidPlayerName()?state.profile.name:'Escolher nome';if(els.lobbyPlayerName)els.lobbyPlayerName.textContent=name;if(els.hudPlayerName)els.hudPlayerName.textContent=hasValidPlayerName()?state.profile.name:'Jogador';if(els.accountStatusLabel)els.accountStatusLabel.textContent=accountStatusText();const menu=$('#avatarMenuName'),quick=$('#avatarQuickName');if(menu)menu.textContent=`Meu ${playerDisplayName()}`;if(quick)quick.textContent=playerDisplayName();"
if,06-missions-profile-hud-inventory-tools.js,993,"function applyPlayerName(name){const clean=sanitizePlayerName(name);if(clean.length<3){toast('Digite um nome com pelo menos 3 caracteres.','warn',2200);return false;}state.profile.name=clean;state.profile.nameConfirmed=true;state.multiplayer.displayName=clean;updatePlayerNameUI();saveState(true);window.OTTHOS_RTDB?.setDisplayName?.(clean);if(running)window.OTTHOS_RTDB?.publish?.({name:clean,x:player.x,y:player.y,z:player.z,r:player.facing,vehicle:!!player.vehicle,vehicleId:player.car.id||'',vehi"
