function,module,description,startLine,endBoundaryLine,bodyBoundarySha256,callOccurrences,if,else,switch,case,for,while,catch,return,throw,ternaryTokensApprox,calls
accountLinked,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",305,305,cbcddbf8b56c3a2848aacdf14d4a5561d2b2ad7be4d96d443da6f908f64835d8,0,0,0,0,0,0,0,0,1,0,1,
accountPromptWasHandled,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",306,306,2f6a4b795fb8c51748605735ca7afd0b962665a19541f04fcbf58812a4f38f2f,0,0,0,0,0,0,0,0,1,0,0,
accountStatusText,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",307,323,b6473fed6fc967d8f72e7e3a673b3ca12d377782f61b0520614eba11410d8589,1,4,0,0,0,0,0,0,7,0,7,accountLinked
syncGameAccount,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",324,377,aaf04799d7baed8b83ed5775dfbf94c805a3c262b547e0a92bef3a4e785a213b,13,16,0,0,0,0,0,2,10,10,20,accountLinked | applyPlayerName | commitState | normalizeState | sanitizePlayerName | saveState | updateHUD | updateLobbyStats | updatePlayerNameUI
openAccountForm,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",378,386,1c8bd4ddafe1c55beca48e0ffeaf1ef1620606b83aeb955055ec100555a67d4a,5,4,2,0,0,0,0,1,1,0,9,closeModal | escapeHtml | openAccountCenter | openModal | toast
openAccountCenter,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",387,396,ea5af933935fe6d58025c43dc5e12af0d331379f0045be8fc92b514324dbf48d,12,2,0,0,0,0,0,0,0,0,12,accountLinked | closeModal | confirmModal | escapeHtml | openAccountForm | openModal | openPlayerNameModal | saveState | syncGameAccount | toast
addXP,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",397,407,f0b9b73cd1df59f0d291751f7f325aee836734afefe33809744504e4b734682b,4,1,0,0,0,0,0,0,0,0,0,awardMedal | saveState | toast | updateHUD
addCoins,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",408,411,d14e01b57c4f87de9ee15570796241ce74e0c52f8cdb25a0151acdfd1068d705,2,0,0,0,0,0,0,0,0,0,0,saveState | updateHUD
addReputation,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",412,415,33b7783fd507b5d183e379b40cdb261ee5b62d952459153285eafec872d6803d,2,0,0,0,0,0,0,0,0,0,0,saveState | updateHUD
awardMedal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",416,421,cdf303f815dd2b500bad8d6c06f56748f3e37330613f2053a38eeb195ae8ddc1,2,1,0,0,0,0,0,0,1,0,0,saveState | toast
setFlag,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",422,428,dce2ffaa9f2e031e0c5ce2621ceddae413b756f81a3fbdddce117a6da0506228,2,1,0,0,0,0,0,0,1,0,0,evaluateMissions | saveState
showScreen,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",429,433,74b14eca640899d9af86eca51015759a3ae53f8c8bf1308ff6110a8aade59b30,1,0,0,0,0,0,0,0,0,0,0,updateInstallUI
toast,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",434,439,162f60ddcfee544cf2ef4fda292a872423cfc7ac4c8a529245788c27749ca8d5,0,0,0,0,0,0,0,0,0,0,0,
vibrate,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",440,442,34b0fcf685678b3725fa78c6b594ab9237817b93d663be4cbc7e707c508e3627,0,1,0,0,0,0,0,0,0,0,0,
beep,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",443,457,7641e79fcbc4fa97c74ba21eaa045a7df6809cebff9c70ab590d32f89a24cc81,0,2,0,0,0,0,0,1,2,0,0,
openModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",458,472,bc77fbfd5594f90a4150a28f40c4df65f5089bf749002969789a5a74afab8e43,1,3,0,0,0,0,0,0,0,0,4,scheduleStableResize
closeModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",473,490,180c51e9a3476ff02130ab90b5ad5b22a18c4eb91414e497a4be2165519a1bcb,4,4,1,0,0,0,0,0,0,0,4,cancelFishingSession | clearExtensionPreview | startEngineSound | stopFishingVisual
confirmModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",491,504,eac0174669e738a656e9fd2661e2b2666df9321c68e019f5750cbff8711cd2fb,4,1,0,0,0,0,0,0,1,0,1,closeModal | openModal
updateInstallUI,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",505,551,e27e1a2cf5dc792c6f395e44d511c7f21f0ddb2de2242b17b93d1fe5402e564d,2,5,0,0,0,0,0,0,2,0,5,openModal | toast
isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",552,658,79ccc750fe433ad3339bb077e20d6d70d7a8b747825e7edb1cabca9e09bfb16e,2,13,0,0,0,0,0,7,11,1,3,saveState | updateInstallUI
localDateKey,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",659,659,f24870fde3d3a6cbe887725bbf09616a26faf466ed816c667f691d9dca98fa23,0,0,0,0,0,0,0,0,1,0,0,
daysBetween,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",660,660,a52cda6a525bfbcf374883b7a983ec9b577afa1fa52be8ac47cfa3ee4888799e,0,1,0,0,0,0,0,0,2,0,0,
ensureDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",661,661,45c4292810d49031ee346144ac0c40e88d942a54db08fde05cba9f3d0ed443e4,3,1,0,0,0,0,1,0,1,0,3,daysBetween | localDateKey | saveState
dailyDefinition,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",662,662,186449dc3f6d3322c456a70aef0bed47167b264c7d8b32478a5764ceb5299d91,0,0,0,0,0,0,0,0,1,0,0,
trackDaily,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",663,668,daa968cdb1b1791548c36aa2fc53d0b4502cca1c75700887a9e5f969b2a558a6,3,5,0,0,0,1,0,0,1,0,0,ensureDailyChallenges | saveState | updateDailyBadge
updateDailyBadge,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",669,669,4ba20e166bc7fffc0d3c68ea498a51151a29c43ecd012379adbb4db627f24c07,1,2,0,0,0,0,0,0,1,0,1,ensureDailyChallenges
claimDailyQuest,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",670,683,16ca2fb6aae14083cf4af4b0966ca30eeb2a886ccc20e342d30a30cc9c93dfb7,9,1,0,0,0,0,0,0,1,0,1,addCoins | addReputation | addXP | beep | dailyDefinition | openDailyChallenges | saveState | toast | vibrate
seeded,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",684,684,1319f2287dd6d17f3249d661b9ccd1e0570aced548c2a22f4c34a5cceb90c7a3,0,0,0,0,0,0,0,0,1,0,0,
shuffled,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",685,685,f5ba217d0c1b7351f0c351f162b97a6fd7c040f3c31ab2414b56fd5025e124da,0,0,0,0,0,0,0,0,1,0,0,
choiceSet,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",686,686,f0e3d380b81a25743a6ec12ef46bd95a3eabb66b776dcb9dc58449c78a739e2e,2,0,0,0,0,0,0,0,1,0,0,shuffled
mathRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",687,695,cb4e37719f10ede6dd4b1ff7267304d38d5d572308beb5b8dd68be0e37a58b81,4,5,0,0,0,0,0,0,6,0,8,choiceSet
portugueseRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",696,704,8ce27614b02591038517ef164d3db00c52b68a45e8f72fefbe62296e361cf343,5,5,0,0,0,0,0,0,6,0,6,choiceSet | shuffled
englishRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",705,713,9908ca6746f7842521a7022c9d7c42a9dd53aab96166aa861ad17a04e85421a8,5,5,0,0,0,0,0,0,6,0,2,choiceSet
generateEducationRounds,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",714,714,28f0df96294862151095cffeb6f7d5a1108efddb10d1b85f6678f10a2630996a,1,0,0,0,0,0,0,0,1,0,2,seeded
subjectLevelRecord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",715,715,95015b357984a841f0191b122fe466702923922ecd01495cffddce766f18c16a,0,0,0,0,0,0,0,0,1,0,0,
subjectUnlocked,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",716,716,d052304da0885e4d3b3fbc3f13fa65bffd5ba7dd84fa0fd1fa9336b9f57c9638,1,0,0,0,0,0,0,0,1,0,0,subjectLevelRecord
educationSummary,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",717,717,eadeaa0d7fdd42e56a9133be5bb845c571c8aed009b6df11f55339893434162b,1,1,0,0,0,2,0,0,1,0,0,subjectLevelRecord
speakKidWord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",718,718,d35e7d0651948db93552b555d3c894120cb44bdeba8e3307f8ce1a49b98d3920,0,0,0,0,0,0,0,1,0,0,0,
dailyChallengesHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",719,719,1758fae4f4623b7585c3edb5c03fa496c71a6489eaafafcb0a629bd6e86e31f5,2,0,0,0,0,0,0,0,2,0,5,dailyDefinition | ensureDailyChallenges
educationSubjectHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",720,720,1a6b235640a8a6a9d25e1654ff52a6449f092c19fa97bba61af109988459c457,2,0,0,0,0,0,0,0,2,0,6,subjectLevelRecord | subjectUnlocked
openEducationHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",721,730,5aab4e342499a7fe3d23ec9f8169a0c60c29934abf17db6772c05ad8105d22d3,10,5,0,0,0,0,0,0,4,0,8,claimDailyQuest | dailyChallengesHtml | educationSubjectHtml | educationSummary | ensureDailyChallenges | openModal | openSocialHub | playerDisplayName | startSoloEducationGame
openChallengeHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",731,731,a34cdb9eeb74773ee6e2699bfe73f436fc509eba075a3b0e4afe5b26dbb2b611,1,0,0,0,0,0,0,0,0,0,1,openEducationHub
openDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",732,732,7f1d0505db90ee99dd2ae316ea3dc980eed069445bbdfe07ba9206abe0c5fd7e,1,0,0,0,0,0,0,0,0,0,0,openEducationHub
runEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",733,746,9cc111fec96ac5404c6a9a4e4049ab5e20099ccfbf5bbebfd27e55526b77186f,12,6,1,0,0,0,0,0,4,0,9,addXP | beep | escapeHtml | finishSoloEducationGame | generateEducationRounds | openModal | speakKidWord
startSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",747,747,f2bc35abc4bc0a470f453b8d01df32b9efbd92176929403e44a24b7a9f73bbd7,3,0,0,0,0,0,0,1,0,0,0,closeChallengePrompt | runEducationGame | toast
finishSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",748,750,057713f886c30f8f177f72c869aaac7df69be1a27ea9226184dc79539738efce,11,2,1,0,0,0,0,0,0,0,6,addCoins | addXP | awardMedal | openEducationHub | openModal | saveState | startSoloEducationGame | subjectLevelRecord
startCinematicEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",751,753,344134866ae5365e6be02f99b8265335337b3959dfa45bbf47489ad4ceb76ffd,0,1,0,0,0,0,0,0,1,0,0,
triggerEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",754,764,c10609ef6f1b21e0c2023565ea6d859ae2c386f5891e9255e635f18c6da399a1,5,4,0,0,0,0,0,0,0,0,4,addXP | beep | startCinematicEmote | toast | vibrate
openQuiz,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",765,767,760b3e3a3b448120eeceb4ec53e3b5662e77489b6fc0f834cea773295abec6f4,1,0,0,0,0,0,0,0,0,0,0,openEducationHub
openCollection,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",768,786,90e3337553578abe1038f042241a4cb2f23b3d21e03f453a6921c41394855a94,1,0,0,0,0,0,0,0,0,0,1,openModal
effectiveAvatarUniform,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",787,794,64d0f184439c23fb405572a29469cc326f184e3cf6dffec73f96a7e44869335c,0,1,0,0,0,0,0,0,2,0,3,
avatarChoiceGroup,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",795,799,79d270ecaba86e81ca2f75573f0bbb24c9aef602c5a9a5711e01941702cad541,1,0,0,0,0,0,0,0,1,0,5,effectiveAvatarUniform
openAvatarStudio,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",800,809,0317833fc161e7089e5ebf1b7ccc6bf00c14f45ddd4ad9b097a7cf720981814a,12,0,0,0,0,0,0,0,0,0,2,applyAvatarCustomization | avatarChoiceGroup | closeModal | openModal | playerDisplayName | saveState | setFlag | toast
openLifePanel,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",810,825,cb1aec56636d7aa627fe46891f21e4729225304f81f3ec49eb3794c784238faa,3,2,0,0,0,1,0,0,0,0,1,closeModal | openModal | toast
openMolds,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",826,828,7d5589517ad570ca39b546026b25955780bbe71396068cc1d4847f76d9bb51a5,2,0,0,0,0,0,0,0,0,0,0,openModal | playerDisplayName
openHow,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",829,927,dea39d2e950108786717039dd71d5ba93c86520de197ab6474da7ed200799ca5,1,0,0,0,0,0,0,0,0,0,0,openModal
deriveMissionFlags,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",928,939,5071f2d1b8cb9878d509a86293d9991a7801b70cf2445dba09abfc7756113b7d,0,0,0,0,0,0,0,0,0,0,1,
evaluateMissions,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",940,957,95b41091544d7944944f6c0cd29a372d1c718be2e31189b51e2486511860b230,5,2,0,0,0,1,0,0,0,0,3,addCoins | awardMedal | deriveMissionFlags | toast | updateMissionHUD
updateMissionHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",958,976,580b524adc6b76fbbbd557e1702762d5368f4c3bb679c7e2a6b588625257847a,2,2,0,0,0,0,0,0,2,0,2,activeJobProgress | playerText
objectiveStatusLabel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",977,977,f5cb500988025448bef8d81ddbf3ed6bf30c921042ce1ef6bbd15519d7f577b6,0,0,0,0,0,0,0,0,1,0,1,
skillMasterySummary,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",978,978,d6a50bd8331eb7b9707b773b5013b9b3fb1096c88d83bb0425bcb83b8775b0fc,0,0,0,0,0,0,0,0,1,0,1,
pinChapter,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",979,979,730e0bb570acb33b7ec6676ff1d8c29671bc95e65f543553b84ba02a61dd20dc,4,0,0,0,0,0,0,0,0,0,1,evaluateMissions | saveState | toast | updateMissionHUD
openObjectivesPanel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",980,987,e81c3f9f831f3ec826f0d345e32df952d3a694ce4f64e300aec6e2a8fd43b2d9,7,0,0,0,0,0,0,0,1,0,17,activeJobProgress | deriveMissionFlags | openModal | pinChapter | playerText | skillMasterySummary
sanitizePlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",988,988,b107c5b4cd393643459918f0c4874ba03f365bc7259a8ab83fa9a0cfa0bd9be4,0,0,0,0,0,0,0,0,1,0,0,
hasValidPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",989,989,73c3b68af88c0b16265afac8ad0b98589ddb79b351c1f039f52baaa1dea1b728,1,0,0,0,0,0,0,0,1,0,0,sanitizePlayerName
playerDisplayName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",990,990,a9b5dd1c024eb709bd424944d0136077787a78ea6396f43a578a472aa91f9e20,2,0,0,0,0,0,0,0,1,0,1,hasValidPlayerName | sanitizePlayerName
playerText,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",991,991,2af737b2b5ac72a166fb4eaa81d9f9ec3f54260a743dbbf21f47c658b2bd1b9d,4,0,0,0,0,0,0,0,1,0,0,playerDisplayName
updatePlayerNameUI,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",992,992,cd63aa64f5dd80d47ad9384e6cc350b20efc0bc4774bd067f509817d9cea153e,7,7,0,0,0,0,0,0,0,0,8,accountStatusText | hasValidPlayerName | playerDisplayName
applyPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",993,993,e1cffe14e65129b5ed275b51fe7720b0731a915960b835c2d656883ddab82367,4,2,0,0,0,0,0,0,2,0,8,sanitizePlayerName | saveState | toast | updatePlayerNameUI
openPlayerNameModal,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",994,998,72d7ff402ad47a8fc14a09a536d321bb6b74ef3f24230f7fc40f007a37b68812,5,3,0,0,0,0,0,0,1,0,6,applyPlayerName | closeModal | hasValidPlayerName | openModal | toast
updateLobbyStats,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",999,1005,bac8e72ed2b7bea39fb287b9d46ca352b4826a848b8e29a16dce9654ba8ecf17,1,0,0,0,0,0,0,0,0,0,0,updatePlayerNameUI
updateHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1006,1020,b57e8c63e974c3ab3a58ba1074f01e625fe7dd23eab6ac5b7f82798ac7c8c12e,2,1,0,0,0,0,0,0,0,0,2,updateMissionHUD | updatePlayerNameUI
openInventory,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1021,1033,17c51da4edb0e51b1615adb371720af0ba3fd16c407736e9f009cf3f706e25d1,4,1,0,0,0,0,0,0,1,0,3,openModal | saveState | toast | updateHUD
equippedTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1034,1034,f6e4074938f51cb58674268f1a7f4b2470485590f66d85dce08322cdf0ebc02f,0,0,0,0,0,0,0,0,1,0,1,
equipTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1035,1037,06f37dde73ca0dd26b7f614fe952cd666f8bc1bd6175ecf5e2f5c9e3f22c30a1,3,2,0,0,0,0,0,0,2,0,0,refreshEquippedToolVisual | saveState | toast
openToolbelt,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1038,1040,e1feac1e551b706320d206c61c82e614030555f6db28e758a6ead5ffe19c0789,3,0,0,0,0,0,0,0,0,0,2,closeModal | equipTool | openModal
refreshEquippedToolVisual,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1041,1054,fa88ba59c04e0121e2169e23792620a4c047f52d0bbaa276454aaa4f24d0fa8d,7,4,2,0,0,0,0,0,1,0,4,box | renderMat
playToolAnimation,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1055,1063,2dbd1c254e8689bfbbe82889db41f8df50a83120a74a078eeb4a537caed1884a,2,0,0,0,0,0,0,0,0,0,1,beep | vibrate
routeLength,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1064,1064,2ede0493aa6e96907fd7077d32d6cdf7c26904155d07fb0078ce9238c3867b56,0,0,0,0,0,1,0,0,1,0,0,
compactRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1065,1065,37d93aedbb3c0ec357ddff4b38d8ca7d1abd7393da8130db488dc592249de6b3,0,2,0,0,0,1,0,0,1,0,0,
projectPointToSegment,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1066,1066,ae6f7943580ea9b33ffdc59808b2f6accf8d7e89b80fc024ceaad7f459f42815,0,0,0,0,0,0,0,0,1,0,0,
navBlocked,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1067,1067,3f2cce292d8c4e72ff8d160c69db50fd59b4526ce0abdd56926c013d252482f3,0,3,0,0,0,2,0,0,3,0,0,
segmentClear,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1068,1068,13df9d1cfe7abd670f855ec471398629b5651cca61677f96ebb7892bf7cd76ce,1,1,0,0,0,1,0,0,2,0,0,navBlocked
nearestRoadProjection,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1069,1069,300e49dc9cbf714d35350ac6e9bb8609f1d366e04edf8a1bd0cef77d82716c5f,2,1,0,0,0,1,0,0,1,0,1,projectPointToSegment | segmentClear
pointOnRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1070,1070,fac6693520607b94aec6b65d5900872f41f06b1fe35404b35b6a18a18245ceeb,0,0,0,0,0,0,0,0,1,0,0,
projectPointToPolyline,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1071,1075,ae83f42fc4cb56d0bec1cde78df3d7f26a55ad8a51871985858dacd69a80b9e9,1,3,0,0,0,1,0,0,2,0,1,projectPointToSegment
snapTrafficToRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1076,1081,bad5234226cde3d59a9848299a80859662faba2a319563d7a1d21b3fefa853e9,4,3,0,0,0,0,0,0,3,0,4,nearestRoadProjection | pointOnRoad | projectPointToPolyline
trafficActorList,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1082,1093,a194c72fd78aa78929b93f32709334682313a222920bfa78802a69da375ded83,0,6,0,0,0,5,0,0,2,0,6,
trafficSpeedFactor,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1094,1101,111fbd317ccdf722627863951e94bb9ffa62b465ba4f26fe4f883c104ec43a68,1,4,0,0,0,1,0,0,3,0,1,trafficActorList
captureTrafficPositions,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1102,1102,aa91b9bbd25ca86000bd4e592ece141d9c43c38e6920986499a7d5f302e1cb90,1,0,0,0,0,1,0,0,1,0,0,trafficActorList
resolveTrafficOverlaps,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1103,1115,a32faf7b8e1caf6c914863460c4d81f4798cd8a41c340e9df4f1ee43f0818330,5,8,2,0,0,3,0,0,0,0,13,pointOnRoad | snapTrafficToRoad | trafficActorList
