occurrence,module,functionBoundaryOwner,line,column,snippet
18,31-neighborhood-world-controller.js,applyRoomWorld,22,51,"window.addEventListener('otthi:room-changing',()=>{clearRemoteRoomEntities();resetMobilityForRoomChange();});"
19,00-runtime-foundation.js,applyRoomWorld,23,37,"const safeLocalSet = (key, value) => { try { window.localStorage?.setItem(key, value); return true; } catch { return false; } };"
20,31-neighborhood-world-controller.js,applyRoomWorld,23,53,"window.addEventListener('otthi:room-changed',event=>{if(event.detail?.connected===false)return;applyRoomWorld(event.detail?.room,{toast:event.detail?.previousRoom!==event.detail?.room,teleport:true});});"
21,00-runtime-foundation.js,applyRoomWorld,24,31,const safeLocalRemove = key => { try { window.localStorage?.removeItem(key); return true; } catch { return false; } };
22,31-neighborhood-world-controller.js,applyRoomWorld,24,51,"window.addEventListener('otthos:mp-status',event=>{const room=event.detail?.room;if(event.detail?.connected&&room&&!appliedRoomId&&running)applyRoomWorld(room,{toast:false,teleport:state.multiplayer.room!==room});});"
23,31-neighborhood-world-controller.js,applyRoomWorld,25,45,"window.addEventListener('otthos:houses',()=>{if(!els.modal.hidden&&els.modal.classList.contains('map-modal'))refreshOpenMapAfterResize();updateNavigation(0,true);});"
24,31-neighborhood-world-controller.js,applyRoomWorld,26,38,"window.OTTHI_ROOM_WORLD={current:()=>roomWorldInfo(),get:roomWorldInfo,canChangeRoom,apply:applyRoomWorld,focusCurrentRoom,houseMarkers:roomHouseMarkers,mapHouseLocations,mapRegionsMarkup};"
25,01-build-persistence.js,normalizeBuildList,42,55,"(Array.isArray(list)?list:[]).forEach((item,index)=>{"
26,01-build-persistence.js,normalizeBuildList,47,41,"return [...byId.values()].sort((a,b)=>Number(a.createdAt||0)-Number(b.createdAt||0));"
27,01-build-persistence.js,normalizeBuildTombstones,51,47,(Array.isArray(list)?list:[]).forEach(item=>{
28,01-build-persistence.js,normalizeBuildTombstones,56,41,"return [...byId.values()].sort((a,b)=>a.removedAt-b.removedAt).slice(-300);"
29,01-build-persistence.js,applyBuildTombstones,60,72,"const removed=new Map(normalizeBuildTombstones(tombstones).map(item=>[item.id,item.removedAt]));"
30,01-build-persistence.js,applyBuildTombstones,61,50,return normalizeBuildList(builds).filter(item=>!removed.has(item.id)||Number(item.updatedAt||item.createdAt||0)>Number(removed.get(item.id)||0));
31,01-build-persistence.js,mergeEntityCollections,68,99,"[...(Array.isArray(local)?local:[]),...(Array.isArray(remote)?remote:[])].forEach((item,index)=>{"
32,01-build-persistence.js,mergeEntityCollections,93,27,const defaultState = () => ({
33,02-state-save-cloud-account.js,loadState,230,50,dbReady = window.OTTHOS_DB.load().then(saved => {
34,02-state-save-cloud-account.js,loadState,241,20,"}).catch(error => { console.warn('IndexedDB indisponível; usando armazenamento local.', error); return state; });"
35,02-state-save-cloud-account.js,loadState,242,58,window.OTTHOS_DB.requestPersistentStorage().catch(() => false);
36,02-state-save-cloud-account.js,commitState,254,33,? lastSavePromise.catch(()=>true).then(()=>window.OTTHOS_DB.save(snapshot)).catch(error => {
37,02-state-save-cloud-account.js,commitState,254,48,? lastSavePromise.catch(()=>true).then(()=>window.OTTHOS_DB.save(snapshot)).catch(error => {
38,02-state-save-cloud-account.js,commitState,254,95,? lastSavePromise.catch(()=>true).then(()=>window.OTTHOS_DB.save(snapshot)).catch(error => {
39,02-state-save-cloud-account.js,commitState,260,31,lastSavePromise.finally(()=>{syncCloudProgress(false);syncGameAccount(false);});
40,02-state-save-cloud-account.js,mergeCloudProgress,301,93,"safeLocalSet(STORAGE_KEY,JSON.stringify(state));window.OTTHOS_DB?.save?.(state).catch(()=>{});if(worldGroup&&world?.builds)reconcileWorldBuilds();updatePlayerNameUI();updateHUD();updateLobbyStats();toast('Progresso recuperado do Firebase sem apagar construções locais.','good',2300);return true;"
41,02-state-save-cloud-account.js,accountPromptWasHandled,306,95,"function accountPromptWasHandled(){return Object.entries(state.flags||{}).some(([key,value])=>/^accountPromptedV\d+$/.test(key)&&value===true);}"
42,02-state-save-cloud-account.js,accountStatusText,310,31,return new Promise(resolve=>{
43,02-state-save-cloud-account.js,accountStatusText,312,25,"const finish=value=>{if(done)return;done=true;clearTimeout(timer);window.removeEventListener('otthos:rtdb-ready',ready);resolve(value);};"
44,02-state-save-cloud-account.js,accountStatusText,313,21,"const ready=()=>finish(window.OTTHOS_RTDB||null),timer=setTimeout(()=>finish(window.OTTHOS_RTDB||null),timeout);"
45,02-state-save-cloud-account.js,accountStatusText,313,75,"const ready=()=>finish(window.OTTHOS_RTDB||null),timer=setTimeout(()=>finish(window.OTTHOS_RTDB||null),timeout);"
46,02-state-save-cloud-account.js,syncGameAccount,327,22,const run=async()=>{
47,02-state-save-cloud-account.js,syncGameAccount,375,66,await window.OTTHOS_RTDB?.signOutPlayerAccount?.().catch?.(()=>{});
48,02-state-save-cloud-account.js,openAccountForm,380,1330,"openModal(creating?'Criar conta do jogo':'Entrar na conta',`<div class=""account-form""><div class=""account-shield"">🔐</div><p>${creating?'Um responsável pode ajudar. A senha não é gravada; ela protege o progresso antes de enviá-lo.':'Use o mesmo usuário e senha cadastrados no outro aparelho.'}</p>${creating?'<label class=""field""><span>Nome que aparece no jogo</span><input data-account-display maxlength=""18"" autocomplete=""nickname"" value=""'+escapeHtml(state.profile.name||'')+'"" placeholder=""Ex.: Luna""></label>':''}<label class=""field""><span>Usuário da conta</span><input data-account-user maxlength=""20"" autocapitalize=""none"" autocomplete=""username"" spellcheck=""false"" placeholder=""Ex.: luna_azul""></label><label class=""field""><span>Senha</span><input data-account-password type=""password"" maxlength=""64"" autocomplete=""${creating?'new-password':'current-password'}"" placeholder=""Mínimo de 6 caracteres""></label>${creating?'<label class=""field""><span>Repita a senha</span><input data-account-confir"
49,02-state-save-cloud-account.js,openAccountForm,382,30,const showError=message=>{error.textContent=message;error.hidden=false;submit.disabled=false;submit.textContent=creating?'Criar e proteger progresso':'Entrar e recuperar progresso';};
50,02-state-save-cloud-account.js,openAccountForm,383,29,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado com sucesso.','good',2600);if(typeof onReady==='function')onReady();else if(!creating)setTimeout(()=>location.reload(),550);}catch(e){showError(e.message||'Não foi possível concluir.');}};"
51,02-state-save-cloud-account.js,openAccountForm,383,606,"submit.onclick=async()=>{error.hidden=true;const pass=password.value;if(creating&&pass!==$('[data-account-confirm]',root).value){showError('As duas senhas precisam ser iguais.');return;}submit.disabled=true;submit.textContent=creating?'Criando conta...':'Recuperando...';try{if(creating)await createGameAccount($('[data-account-display]',root).value,user.value,pass);else await loginGameAccount(user.value,pass);closeModal();toast(creating?'Conta criada e progresso protegido.':'Progresso recuperado com sucesso.','good',2600);if(typeof onReady==='function')onReady();else if(!creating)setTimeout(()=>location.reload(),550);}catch(e){showError(e.message||'Não foi possível concluir.');}};"
52,02-state-save-cloud-account.js,openAccountForm,384,47,"$('[data-account-back]',root).onclick=()=>openAccountCenter(required,onReady);setTimeout(()=>user.focus(),80);"
53,02-state-save-cloud-account.js,openAccountForm,384,98,"$('[data-account-back]',root).onclick=()=>openAccountCenter(required,onReady);setTimeout(()=>user.focus(),80);"
54,02-state-save-cloud-account.js,openAccountCenter,389,1070,"openModal(linked?'Minha conta':'Proteja seu progresso',linked?`<div class=""account-card linked""><span>✓</span><div><b>${escapeHtml(state.account.username||accountSession.username)}</b><small>Progresso criptografado • última cópia ${lastText}</small></div></div><div class=""modal-actions""><button class=""btn primary"" data-account-sync>Sincronizar agora</button><button class=""btn"" data-account-logout>Sair da conta neste aparelho</button></div>`:`<div class=""account-intro""><span>☁️</span><h3>Continue em qualquer celular</h3><p>Crie uma conta do jogo ou entre com a combinação cadastrada. Não informe telefone, endereço, escola ou nome completo.</p></div><div class=""choice-grid""><button class=""choice"" data-account-create><b>🔐 Criar conta</b><span>Protege o progresso atual</span></button><button class=""choice"" data-account-login><b>🔑 Entrar</b><span>Recupera conquistas antigas</span></button>${required?'<button class=""choice muted"" data-account-offline><b>📱 Jogar neste aparelho</b><span>O progr"
55,02-state-save-cloud-account.js,openAccountCenter,390,67,"$('[data-account-create]',root)?.addEventListener('click',()=>openAccountForm('create',required,onReady));$('[data-account-login]',root)?.addEventListener('click',()=>openAccountForm('login',required,onReady));"
56,02-state-save-cloud-account.js,openAccountCenter,390,172,"$('[data-account-create]',root)?.addEventListener('click',()=>openAccountForm('create',required,onReady));$('[data-account-login]',root)?.addEventListener('click',()=>openAccountForm('login',required,onReady));"
57,02-state-save-cloud-account.js,openAccountCenter,391,70,"$('[data-account-sync]',root)?.addEventListener('click',async e=>{e.currentTarget.disabled=true;e.currentTarget.textContent='Sincronizando...';const ok=await syncGameAccount(true);closeModal();toast(ok?'Progresso sincronizado.':'Sem conexão agora; a cópia local foi preservada.',ok?'good':'warn',2400);});"
58,02-state-save-cloud-account.js,openAccountCenter,392,72,"$('[data-account-logout]',root)?.addEventListener('click',async()=>{if(await confirmModal('Sair da conta','O progresso continuará neste aparelho e na cópia protegida.','Sair','Cancelar')){await unlinkGameAccount();toast('Conta desconectada deste aparelho.','good');}});"
59,02-state-save-cloud-account.js,openAccountCenter,393,68,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
60,02-state-save-cloud-account.js,openAccountCenter,393,97,"$('[data-account-offline]',root)?.addEventListener('click',()=>openPlayerNameModal(true,()=>{state.flags.accountPromptedV635=true;saveState(true);if(typeof onReady==='function')onReady();}));"
61,03-ui-modal-install-pwa.js,showScreen,432,23,queueMicrotask(() => typeof updateInstallUI === 'function' && updateInstallUI());
62,03-ui-modal-install-pwa.js,toast,438,33,"toast.timer = setTimeout(() => els.toast.classList.remove('show'), ms);"
63,03-ui-modal-install-pwa.js,openModal,471,29,"requestAnimationFrame(()=>{els.modalBody.scrollTop=0;scheduleStableResize(0,true);});"
64,03-ui-modal-install-pwa.js,confirmModal,492,32,return new Promise(resolve => {
65,03-ui-modal-install-pwa.js,confirmModal,493,184,"openModal(title, `<p>${text}</p><div class=""modal-actions""><button class=""btn primary"" data-yes>${yesLabel}</button><button class=""btn"" data-no>${noLabel}</button></div>`, root => {"
66,03-ui-modal-install-pwa.js,confirmModal,494,44,"$('[data-yes]', root).onclick = () => { closeModal(); resolve(true); };"
67,03-ui-modal-install-pwa.js,confirmModal,495,43,"$('[data-no]', root).onclick = () => { closeModal(); resolve(false); };"
68,03-ui-modal-install-pwa.js,confirmModal,500,47,"els.modal.addEventListener('pointerdown', e => { if (e.target === els.modal) closeModal(); });"
69,03-ui-modal-install-pwa.js,confirmModal,504,27,const isStandalone = () => window.matchMedia?.('(display-mode: standalone)').matches || navigator.standalone === true || safeLocalGet('otthos_installed') === '1';
70,03-ui-modal-install-pwa.js,updateInstallUI,521,56,"window.addEventListener('beforeinstallprompt', event => {"
71,03-ui-modal-install-pwa.js,updateInstallUI,526,46,"window.addEventListener('appinstalled', () => {"
72,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,605,69,"navigator.serviceWorker.addEventListener('controllerchange', () => {"
73,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,616,55,"registration.addEventListener('updatefound', () => {"
74,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,619,51,"worker.addEventListener('statechange', () => {"
75,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,625,44,await registration.update().catch(() => {});
76,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,626,21,"setTimeout(() => probeOtthiGameUpdate(true), 1800);"
77,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,627,22,setInterval(() => {
78,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,628,40,registration.update().catch(() => {});
79,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,639,40,"window.addEventListener('online', () => probeOtthiGameUpdate(true), { passive:true });"
80,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,640,42,"window.addEventListener('pageshow', () => probeOtthiGameUpdate(false), { passive:true });"
81,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,641,52,"document.addEventListener('visibilitychange', () => {"
82,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,648,86,"{id:'walk',icon:'👟',title:'Explorador da Vila',target:180,reward:90,xp:50,label:n=>`${Math.floor(n)}/180 m caminhando`},"
83,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,649,84,"{id:'drive',icon:'🚗',title:'Piloto da Vila',target:260,reward:120,xp:70,label:n=>`${Math.floor(n)}/260 m dirigindo`},"
84,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,650,76,"{id:'jump',icon:'⬆',title:'Pula-pula',target:12,reward:70,xp:45,label:n=>`${Math.floor(n)}/12 pulos`},"
85,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,651,88,"{id:'collect',icon:'💎',title:'Caçador de Tesouros',target:5,reward:95,xp:60,label:n=>`${Math.floor(n)}/5 itens coletados`},"
86,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,652,85,"{id:'talk',icon:'💬',title:'Amigo da Vizinhança',target:3,reward:80,xp:50,label:n=>`${Math.floor(n)}/3 conversas`},"
87,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,653,78,"{id:'cook',icon:'🍳',title:'Chef da Vila',target:1,reward:75,xp:45,label:n=>`${Math.floor(n)}/1 refeição`},"
88,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,654,77,"{id:'race',icon:'🏁',title:'Competidor',target:1,reward:130,xp:80,label:n=>`${Math.floor(n)}/1 corrida concluída`},"
89,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,655,87,"{id:'metro',icon:'Ⓜ️',title:'Rede Metropolitana',target:2,reward:110,xp:65,label:n=>`${Math.floor(n)}/2 viagens de metrô`},"
90,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,656,86,"{id:'bus',icon:'🚌',title:'Passageiro da Cidade',target:3,reward:105,xp:60,label:n=>`${Math.floor(n)}/3 paradas de ônibus`},"
91,03-ui-modal-install-pwa.js,isOfficialOtthiGameAddress,657,85,"{id:'skill',icon:'✨',title:'Mestre das Skills',target:3,reward:120,xp:75,label:n=>`${Math.floor(n)}/3 skills avançadas`}"
92,04-education-daily-quiz.js,dailyDefinition,662,62,function dailyDefinition(id){return DAILY_QUEST_POOL.find(q=>q.id===id)}
93,04-education-daily-quiz.js,updateDailyBadge,669,118,"function updateDailyBadge(){if(!els.dailyBtn)return;ensureDailyChallenges();const ready=state.daily.quests.filter(q=>!q.claimed&&q.progress>=q.target).length;els.dailyBtn.classList.toggle('reward-ready',ready>0);const span=$('span',els.dailyBtn);if(span)span.textContent=ready?`Prêmio ${ready}`:'Desafios';}"
94,04-education-daily-quiz.js,seeded,684,61,function seeded(seed){let s=(Number(seed)||1)>>>0;return()=>((s=(s*1664525+1013904223)>>>0)/4294967296);}
95,04-education-daily-quiz.js,shuffled,685,72,"function shuffled(values,rand=Math.random){return [...values].sort(()=>rand()-.5);}"
96,04-education-daily-quiz.js,choiceSet,686,97,"function choiceSet(answer,candidates,rand){const pool=shuffled([...new Set(candidates.filter(x=>String(x)!==String(answer)))],rand).slice(0,3);return shuffled([answer,...pool],rand);}"
97,04-education-daily-quiz.js,mathRound,689,200,"if(level===1){const n=1+Math.floor(rand()*9);return{kind:'choice',visual:emoji.repeat(n),prompt:'Quantos objetos aparecem?',answer:String(n),options:choiceSet(String(n),[n-2,n-1,n+1,n+2].filter(x=>x>0).map(String),rand)};}"
98,04-education-daily-quiz.js,mathRound,691,245,"if(level===3){const a=5+Math.floor(rand()*10),b=1+Math.floor(rand()*Math.min(8,a)),ans=a-b;return{kind:'choice',visual:`${a} − ${b}`,prompt:'Quanto sobrou?',answer:String(ans),options:choiceSet(String(ans),[ans-2,ans-1,ans+1,ans+2].filter(x=>x>=0).map(String),rand)};}"
99,04-education-daily-quiz.js,portugueseRound,699,151,"if(level===2){return{kind:'choice',visual:word.emoji,prompt:'Qual é o nome desta imagem?',answer:word.pt,options:choiceSet(word.pt,WORD_BANK.map(w=>w.pt),rand)};}"
100,04-education-daily-quiz.js,portugueseRound,700,57,"if(level===3){const positions=[...word.pt].map((c,i)=>/[AEIOUÁÉÍÓÚÃÕ]/.test(c)?i:-1).filter(i=>i>=0),pos=positions[Math.floor(rand()*positions.length)]??1,ans=word.pt[pos],masked=[...word.pt];masked[pos]='_';return{kind:'choice',visual:word.emoji,prompt:`Complete: ${masked.join('')}`,answer:ans,options:choiceSet(ans,['A','E','I','O','U'],rand)};}"
101,04-education-daily-quiz.js,portugueseRound,700,98,"if(level===3){const positions=[...word.pt].map((c,i)=>/[AEIOUÁÉÍÓÚÃÕ]/.test(c)?i:-1).filter(i=>i>=0),pos=positions[Math.floor(rand()*positions.length)]??1,ans=word.pt[pos],masked=[...word.pt];masked[pos]='_';return{kind:'choice',visual:word.emoji,prompt:`Complete: ${masked.join('')}`,answer:ans,options:choiceSet(ans,['A','E','I','O','U'],rand)};}"
102,04-education-daily-quiz.js,englishRound,707,148,"if(level===1){return{kind:'choice',visual:word.emoji,prompt:'Choose the English word.',answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en};}"
103,04-education-daily-quiz.js,englishRound,708,170,"if(level===2){return{kind:'choice',visual:word.pt,prompt:`Como se diz “${word.pt.toLowerCase()}” em inglês?`,answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en};}"
104,04-education-daily-quiz.js,englishRound,709,142,"if(level===3){return{kind:'choice',visual:'🔊',prompt:'Ouça e escolha a palavra.',answer:word.en,options:choiceSet(word.en,WORD_BANK.map(w=>w.en),rand),speak:word.en,autoSpeak:true};}"
105,04-education-daily-quiz.js,englishRound,711,327,"if(level===5){const phrases=[['HELLO','Olá'],['THANK YOU','Obrigado'],['GOOD MORNING','Bom dia'],['PLEASE','Por favor'],['GOODBYE','Tchau']],pair=phrases[Math.floor(rand()*phrases.length)];return{kind:'choice',visual:'💬',prompt:`Qual é o significado de “${pair[0]}”?`,answer:pair[1],options:choiceSet(pair[1],phrases.map(p=>p[1]),rand),speak:pair[0]};}"
106,04-education-daily-quiz.js,generateEducationRounds,714,234,"function generateEducationRounds(subject,level=1,seed=Date.now(),count=5){const rand=seeded(seed+level*997),maker=subject==='math'?mathRound:subject==='portuguese'?portugueseRound:englishRound;return Array.from({length:count},(_,i)=>maker(level,rand,i));}"
107,04-education-daily-quiz.js,dailyChallengesHtml,719,93,"function dailyChallengesHtml(){ensureDailyChallenges();return state.daily.quests.map((q,i)=>{const d=dailyDefinition(q.id),pct=clamp(q.progress/q.target*100,0,100),ready=q.progress>=q.target&&!q.claimed;return`<article class=""daily-card ${ready?'ready':''} ${q.claimed?'claimed':''}""><div class=""daily-icon"">${d.icon}</div><div><b>${d.title}</b><span>${d.label(q.progress)}</span><div class=""daily-progress""><i style=""width:${pct}%""></i></div><small>${q.reward} moedas • ${q.xp} XP</small></div><button data-daily-claim=""${i}"" ${ready?'':'disabled'}>${q.claimed?'✓':ready?'Receber':'Em andamento'}</button></article>`}).join('');}"
108,04-education-daily-quiz.js,educationSubjectHtml,720,311,"function educationSubjectHtml(subject){const s=EDUCATION_SUBJECTS[subject],levels=SUBJECT_LEVELS[subject];return`<section class=""edu-subject"" style=""--edu:${s.color}""><header><span>${s.icon}</span><div><b>${s.title}</b><small>${s.description}</small></div></header><div class=""edu-path"">${levels.map((data,i)=>{const level=i+1,rec=subjectLevelRecord(subject,level),unlocked=subjectUnlocked(subject,level);return`<button class=""edu-node ${rec.completed?'done':''} ${unlocked?'':'locked'}"" data-edu-play=""${subject}"" data-edu-level=""${level}"" ${unlocked?'':'disabled'}><i>${rec.completed?'✓':unlocked?s.icon:'🔒'}</i><span><b>${level}. ${data[0]}</b><small>${rec.completed?`${'⭐'.repeat(rec.stars||1)} • recorde ${rec.best}/5`:data[1]}</small></span></button>`}).join('')}</div></section>`;}"
109,04-education-daily-quiz.js,openEducationHub,727,475,"openModal(`Academia Kids de ${playerDisplayName()}`,`<div class=""academy-banner""><div>🎓</div><section><b>JOGOS KIDS</b><span>Aprenda jogando dentro do mundo aberto.</span></section></div><div class=""learning-top""><div><b>🔥 ${state.daily.streak||1}</b><small>sequência</small></div><div><b>👑 ${state.learning.crowns||0}</b><small>coroas</small></div><div><b>⭐ ${summary.pct}%</b><small>trilha</small></div></div>${tabs}<div class=""learning-content"">${content}</div>`,root=>{"
110,04-education-daily-quiz.js,openEducationHub,728,21,"root.onclick=e=>{const tabBtn=e.target.closest('[data-edu-tab]'),playBtn=e.target.closest('[data-edu-play]'),startBtn=e.target.closest('[data-academy-start]'),claimBtn=e.target.closest('[data-daily-claim]'),onlineBtn=e.target.closest('[data-open-online]');if(tabBtn){openEducationHub(tabBtn.dataset.eduTab);return;}if(startBtn){startSoloEducationGame(startBtn.dataset.academyStart,1);return;}if(playBtn){startSoloEducationGame(playBtn.dataset.eduPlay,Number(playBtn.dataset.eduLevel));return;}if(claimBtn){claimDailyQuest(Number(claimBtn.dataset.dailyClaim));return;}if(onlineBtn){openSocialHub();}};"
111,04-education-daily-quiz.js,runEducationGame,735,22,"const complete=()=>{const elapsed=Math.round(performance.now()-started),result={score,total:items.length,elapsed,subject,level};if(onFinish)return onFinish(result);finishSoloEducationGame(result);};"
112,04-education-daily-quiz.js,runEducationGame,736,20,"const render=()=>{if(step>=items.length||hearts<=0)return complete();const q=items[step],progress=Math.round(step/items.length*100),speak=q.speak?`<button class=""edu-speak"" data-edu-speak>🔊 Ouvir</button>`:'';"
