function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
accountLinked,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",305,305,0,0,0,0,0,0,0,0,1,
accountPromptWasHandled,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",306,306,0,0,0,0,0,0,0,0,0,
accountStatusText,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",307,323,1,4,0,0,0,0,0,0,7,accountLinked
syncGameAccount,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",324,377,13,16,0,0,0,0,0,2,20,accountLinked | applyPlayerName | commitState | normalizeState | sanitizePlayerName | saveState | updateHUD | updateLobbyStats | updatePlayerNameUI
openAccountForm,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",378,386,5,4,2,0,0,0,0,1,9,closeModal | escapeHtml | openAccountCenter | openModal | toast
openAccountCenter,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",387,396,12,2,0,0,0,0,0,0,12,accountLinked | closeModal | confirmModal | escapeHtml | openAccountForm | openModal | openPlayerNameModal | saveState | syncGameAccount | toast
addXP,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",397,407,4,1,0,0,0,0,0,0,0,awardMedal | saveState | toast | updateHUD
addCoins,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",408,411,2,0,0,0,0,0,0,0,0,saveState | updateHUD
addReputation,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",412,415,2,0,0,0,0,0,0,0,0,saveState | updateHUD
awardMedal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",416,421,2,1,0,0,0,0,0,0,0,saveState | toast
setFlag,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",422,428,2,1,0,0,0,0,0,0,0,evaluateMissions | saveState
showScreen,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",429,433,1,0,0,0,0,0,0,0,0,updateInstallUI
toast,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",434,439,0,0,0,0,0,0,0,0,0,
vibrate,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",440,442,0,1,0,0,0,0,0,0,0,
beep,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",443,457,0,2,0,0,0,0,0,1,0,
openModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",458,472,1,3,0,0,0,0,0,0,4,scheduleStableResize
closeModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",473,490,4,4,1,0,0,0,0,0,4,cancelFishingSession | clearExtensionPreview | startEngineSound | stopFishingVisual
confirmModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",491,504,4,1,0,0,0,0,0,0,1,closeModal | openModal
updateInstallUI,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",505,551,2,5,0,0,0,0,0,0,5,openModal | toast
isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",552,658,2,13,0,0,0,0,0,7,3,saveState | updateInstallUI
localDateKey,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",659,659,0,0,0,0,0,0,0,0,0,
daysBetween,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",660,660,0,1,0,0,0,0,0,0,0,
ensureDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",661,661,3,1,0,0,0,0,1,0,3,daysBetween | localDateKey | saveState
dailyDefinition,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",662,662,0,0,0,0,0,0,0,0,0,
trackDaily,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",663,668,3,5,0,0,0,1,0,0,0,ensureDailyChallenges | saveState | updateDailyBadge
updateDailyBadge,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",669,669,1,2,0,0,0,0,0,0,1,ensureDailyChallenges
claimDailyQuest,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",670,683,9,1,0,0,0,0,0,0,1,addCoins | addReputation | addXP | beep | dailyDefinition | openDailyChallenges | saveState | toast | vibrate
seeded,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",684,684,0,0,0,0,0,0,0,0,0,
shuffled,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",685,685,0,0,0,0,0,0,0,0,0,
choiceSet,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",686,686,2,0,0,0,0,0,0,0,0,shuffled
mathRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",687,695,4,5,0,0,0,0,0,0,8,choiceSet
portugueseRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",696,704,5,5,0,0,0,0,0,0,6,choiceSet | shuffled
englishRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",705,713,5,5,0,0,0,0,0,0,2,choiceSet
generateEducationRounds,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",714,714,1,0,0,0,0,0,0,0,2,seeded
subjectLevelRecord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",715,715,0,0,0,0,0,0,0,0,0,
subjectUnlocked,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",716,716,1,0,0,0,0,0,0,0,0,subjectLevelRecord
educationSummary,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",717,717,1,1,0,0,0,2,0,0,0,subjectLevelRecord
speakKidWord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",718,718,0,0,0,0,0,0,0,1,0,
dailyChallengesHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",719,719,2,0,0,0,0,0,0,0,5,dailyDefinition | ensureDailyChallenges
educationSubjectHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",720,720,2,0,0,0,0,0,0,0,6,subjectLevelRecord | subjectUnlocked
openEducationHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",721,730,10,5,0,0,0,0,0,0,8,claimDailyQuest | dailyChallengesHtml | educationSubjectHtml | educationSummary | ensureDailyChallenges | openModal | openSocialHub | playerDisplayName | startSoloEducationGame
openChallengeHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",731,731,1,0,0,0,0,0,0,0,1,openEducationHub
openDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",732,732,1,0,0,0,0,0,0,0,0,openEducationHub
runEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",733,746,12,6,1,0,0,0,0,0,9,addXP | beep | escapeHtml | finishSoloEducationGame | generateEducationRounds | openModal | speakKidWord
startSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",747,747,3,0,0,0,0,0,0,1,0,closeChallengePrompt | runEducationGame | toast
finishSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",748,750,11,2,1,0,0,0,0,0,6,addCoins | addXP | awardMedal | openEducationHub | openModal | saveState | startSoloEducationGame | subjectLevelRecord
startCinematicEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",751,753,0,1,0,0,0,0,0,0,0,
triggerEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",754,764,5,4,0,0,0,0,0,0,4,addXP | beep | startCinematicEmote | toast | vibrate
openQuiz,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",765,767,1,0,0,0,0,0,0,0,0,openEducationHub
openCollection,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",768,786,1,0,0,0,0,0,0,0,1,openModal
effectiveAvatarUniform,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",787,794,0,1,0,0,0,0,0,0,3,
avatarChoiceGroup,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",795,799,1,0,0,0,0,0,0,0,5,effectiveAvatarUniform
openAvatarStudio,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",800,809,12,0,0,0,0,0,0,0,2,applyAvatarCustomization | avatarChoiceGroup | closeModal | openModal | playerDisplayName | saveState | setFlag | toast
openLifePanel,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",810,825,3,2,0,0,0,1,0,0,1,closeModal | openModal | toast
openMolds,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",826,828,2,0,0,0,0,0,0,0,0,openModal | playerDisplayName
openHow,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",829,927,1,0,0,0,0,0,0,0,0,openModal
deriveMissionFlags,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",928,939,0,0,0,0,0,0,0,0,1,
evaluateMissions,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",940,957,5,2,0,0,0,1,0,0,3,addCoins | awardMedal | deriveMissionFlags | toast | updateMissionHUD
updateMissionHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",958,976,2,2,0,0,0,0,0,0,2,activeJobProgress | playerText
objectiveStatusLabel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",977,977,0,0,0,0,0,0,0,0,1,
skillMasterySummary,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",978,978,0,0,0,0,0,0,0,0,1,
pinChapter,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",979,979,4,0,0,0,0,0,0,0,1,evaluateMissions | saveState | toast | updateMissionHUD
openObjectivesPanel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",980,987,7,0,0,0,0,0,0,0,17,activeJobProgress | deriveMissionFlags | openModal | pinChapter | playerText | skillMasterySummary
sanitizePlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",988,988,0,0,0,0,0,0,0,0,0,
hasValidPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",989,989,1,0,0,0,0,0,0,0,0,sanitizePlayerName
playerDisplayName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",990,990,2,0,0,0,0,0,0,0,1,hasValidPlayerName | sanitizePlayerName
playerText,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",991,991,4,0,0,0,0,0,0,0,0,playerDisplayName
updatePlayerNameUI,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",992,992,7,7,0,0,0,0,0,0,8,accountStatusText | hasValidPlayerName | playerDisplayName
applyPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",993,993,4,2,0,0,0,0,0,0,8,sanitizePlayerName | saveState | toast | updatePlayerNameUI
openPlayerNameModal,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",994,998,5,3,0,0,0,0,0,0,6,applyPlayerName | closeModal | hasValidPlayerName | openModal | toast
updateLobbyStats,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",999,1005,1,0,0,0,0,0,0,0,0,updatePlayerNameUI
updateHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1006,1020,2,1,0,0,0,0,0,0,2,updateMissionHUD | updatePlayerNameUI
openInventory,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1021,1033,4,1,0,0,0,0,0,0,3,openModal | saveState | toast | updateHUD
equippedTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1034,1034,0,0,0,0,0,0,0,0,1,
equipTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1035,1037,3,2,0,0,0,0,0,0,0,refreshEquippedToolVisual | saveState | toast
openToolbelt,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1038,1040,3,0,0,0,0,0,0,0,2,closeModal | equipTool | openModal
refreshEquippedToolVisual,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1041,1054,7,4,2,0,0,0,0,0,4,box | renderMat
playToolAnimation,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1055,1063,2,0,0,0,0,0,0,0,1,beep | vibrate
routeLength,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1064,1064,0,0,0,0,0,1,0,0,0,
compactRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1065,1065,0,2,0,0,0,1,0,0,0,
projectPointToSegment,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1066,1066,0,0,0,0,0,0,0,0,0,
navBlocked,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1067,1067,0,3,0,0,0,2,0,0,0,
segmentClear,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1068,1068,1,1,0,0,0,1,0,0,0,navBlocked
nearestRoadProjection,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1069,1069,2,1,0,0,0,1,0,0,1,projectPointToSegment | segmentClear
pointOnRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1070,1070,0,0,0,0,0,0,0,0,0,
projectPointToPolyline,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1071,1075,1,3,0,0,0,1,0,0,1,projectPointToSegment
snapTrafficToRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1076,1081,4,3,0,0,0,0,0,0,4,nearestRoadProjection | pointOnRoad | projectPointToPolyline
trafficActorList,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1082,1093,0,6,0,0,0,5,0,0,6,
trafficSpeedFactor,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1094,1101,1,4,0,0,0,1,0,0,1,trafficActorList
captureTrafficPositions,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1102,1102,1,0,0,0,0,1,0,0,0,trafficActorList
resolveTrafficOverlaps,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1103,1115,5,8,2,0,0,3,0,0,13,pointOnRoad | snapTrafficToRoad | trafficActorList
graphAdd,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1116,1116,0,2,0,0,0,0,0,0,0,
graphShortest,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1117,1117,0,6,0,0,0,2,2,0,4,
buildRoutePoints,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1118,1129,10,4,0,0,0,2,0,0,4,compactRoute | graphAdd | graphShortest | nearestRoadProjection
routeProgressInfo,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1130,1130,2,2,0,0,0,1,0,0,5,projectPointToSegment | routeLength
remainingRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1131,1131,2,0,0,0,0,0,0,0,0,compactRoute | routeProgressInfo
sampleRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1132,1132,0,0,0,0,0,2,0,0,0,
createRouteGuide,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1133,1133,1,1,0,0,0,1,0,0,0,mat
updateRouteGuide,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1134,1134,6,3,0,0,0,0,0,0,1,buildRoutePoints | createRouteGuide | groundHeightAt | remainingRoute | routeProgressInfo | sampleRoute
miniPoint,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1135,1135,0,0,0,0,0,0,0,0,0,
drawMiniMap,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1136,1136,7,3,0,0,0,1,0,0,9,miniPoint | remainingRoute
updateNavigation,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1137,1137,6,4,1,0,0,0,0,0,5,beep | drawMiniMap | routeProgressInfo | saveState | toast | updateRouteGuide
routeSvgMarkup,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1138,1200,2,0,0,0,0,0,0,0,0,playerDisplayName | worldToMap
mapLocationDetails,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1201,1201,0,0,0,0,0,0,0,0,0,
worldToMap,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1202,1202,0,0,0,0,0,0,0,0,0,
mapDistance,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1203,1204,0,0,0,0,0,0,0,0,4,
mapMarkerPlacements,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1205,1240,1,5,2,0,0,4,0,0,13,worldToMap
applyMapMarkerPlacements,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1241,1248,0,1,0,0,0,0,0,0,3,
mapSelectionMarkup,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1249,1252,2,1,0,0,0,0,0,0,0,mapDistance | mapLocationDetails
setWaypoint,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1253,1257,6,1,0,0,0,0,0,0,4,buildRoutePoints | closeModal | saveState | toast | updateNavigation | updateWaypointMarker
clearWaypoint,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1258,1258,5,0,0,0,0,0,0,0,0,closeModal | saveState | toast | updateNavigation | updateWaypointMarker
openMap,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1259,1277,14,2,0,0,0,0,0,0,13,applyMapMarkerPlacements | buildRoutePoints | mapDistance | mapMarkerPlacements | mapSelectionMarkup | openModal | routeProgressInfo | routeSvgMarkup | setWaypoint | worldToMap
refreshOpenMapAfterResize,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1278,1280,1,2,0,0,0,0,0,0,0,openMap
performLocalReset,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1281,1283,0,0,0,0,0,0,0,0,4,
openFinalResetConfirmation,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1284,1289,5,3,0,0,0,0,0,0,1,commitState | confirmModal | openModal | openParentTools | performLocalReset
openParentTools,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1290,1297,6,2,0,0,0,0,0,1,3,confirmModal | normalizeState | openFinalResetConfirmation | openModal | openSettings | toast
openParentGate,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1298,1308,7,5,0,0,0,0,0,0,5,accountLinked | openModal | openParentTools | openSettings
openSettings,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1309,1359,28,11,6,0,0,0,0,0,12,accountStatusText | applyQuality | closeChallengePrompt | closeModal | commitState | hasValidPlayerName | multiplayerStatusText | openAccountCenter | openEducationHub | openModal | openParentGate | openPlayerNameModal | qualityLabel | qualityTier | requestedQuality | returnHome | savePlayerPosition | saveState | stopGame | toast
syncMobilePanels,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1360,1408,4,16,0,0,0,0,0,1,5,openObjectivesPanel | saveState
otthiGameModelUrl,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1409,1412,0,0,0,0,0,0,0,0,0,
androidSceneViewerUrl,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1413,1422,1,0,0,0,0,0,0,0,0,otthiGameModelUrl
isAndroidDevice,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1423,1426,0,0,0,0,0,0,0,0,0,
openAndroidSceneViewer,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1427,1467,5,5,0,0,0,0,0,2,3,androidSceneViewerUrl | isAndroidDevice | openModal | toast
detectStableAutoTier,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1468,1487,0,2,0,0,0,0,0,0,1,
vehiclePlayerMode,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1488,1494,0,3,0,0,0,0,0,0,3,
derivePlayerMode,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1495,1505,1,8,0,0,0,0,0,0,4,vehiclePlayerMode
auditPlayerMode,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1506,1521,1,7,0,0,0,0,0,0,2,derivePlayerMode
isOnFootMode,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1522,1522,1,0,0,0,0,0,0,0,0,derivePlayerMode
canEnterMobility,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1523,1527,2,1,0,0,0,0,0,0,0,auditPlayerMode | isOnFootMode
cameraRelativeVector,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1528,1532,0,0,0,0,0,0,0,0,2,
normalizeControlIntent,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1533,1540,2,2,0,0,0,0,0,0,3,cameraRelativeVector | derivePlayerMode
requestedQuality,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1541,1541,0,0,0,0,0,0,0,0,1,
qualityLabel,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1542,1542,4,0,0,0,0,0,0,0,4,qualityTier | requestedQuality
qualityTier,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1543,1543,1,0,0,0,0,0,0,0,2,requestedQuality
targetDpr,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1544,1549,1,2,0,0,0,0,0,0,3,qualityTier
applyAdaptiveRenderSettings,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1550,1558,3,4,0,0,0,0,0,0,5,qualityTier | scheduleStableResize | targetDpr
samplePerformance,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1559,1578,7,6,2,0,0,0,0,0,7,applyAdaptiveRenderSettings | lockStableSceneVisibility | requestedQuality | saveState | toast
lockStableSceneVisibility,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1579,1585,3,4,0,0,0,3,0,0,4,qualityTier
freezeWorldFrustumCulling,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1586,1600,0,4,1,0,0,0,0,1,3,
updateVisualLOD,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1601,1608,0,2,0,0,0,1,0,0,0,
pwaInstalled,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1609,1609,0,0,0,0,0,0,0,0,0,
activeVehicleCount,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1610,1610,0,0,0,0,0,0,0,0,10,
runtimeDiagnostics,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1611,1614,3,0,0,0,0,0,0,0,8,activeVehicleCount | auditPlayerMode | pwaInstalled
ensureTechnicalPanel,09-responsive-ar-quality-diagnostics.js,"Responsividade, AR, modos, qualidade, LOD e diagnóstico",1615,1617,1,1,0,0,0,0,0,0,0,toggleTechnicalPanel
